Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Solo,Int,Sk,College/Univ
2016,5,143,OAK,DeAndre Washington,RB,23,2019,0,0,0,11,11,55,0,0,0,0,0,282,1122,7,88,613,1,3,,,Texas Tech
2016,5,144,DEN,Connor McGovern,G,23,2019,0,0,2,14,14,47,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri
2016,5,145,SFO,John Theus,T,22,2016,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia
2016,5,146,BAL,Matt Judon,DE,24,2019,0,1,3,26,26,62,0,0,0,0,0,0,0,0,0,0,0,135,,28.5,Grand Valley St.
2016,5,147,SEA,Quinton Jefferson,DT,23,2019,0,0,2,12,12,39,0,0,0,0,0,0,0,0,0,0,0,35,,7.5,Maryland
2016,5,148,TAM,Caleb Benenoch,T,22,2019,0,0,1,12,12,35,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2016,5,149,NYG,Paul Perkins,RB,21,2019,0,0,0,5,5,29,0,0,0,0,0,165,575,0,24,217,0,5,,,UCLA
2016,5,150,CHI,Jordan Howard,RB,21,2019,0,1,3,24,21,57,0,0,0,0,0,897,3895,30,82,637,2,,,,Indiana
2016,5,151,DET,Joe Dahl,G,23,2019,0,0,1,9,9,35,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.
2016,5,152,WAS,Matthew Ioannidis,DT,22,2019,0,0,2,17,17,54,0,0,0,0,0,0,0,0,0,0,0,84,,20.5,Temple
2016,5,153,PHI,Wendell Smallwood,RB,22,2019,0,0,0,10,9,52,0,0,0,0,0,233,931,5,56,452,2,8,,,West Virginia
2016,5,154,CLE,Jordan Payton,WR,23,2016,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,,,,UCLA
2016,5,155,IND,Joe Haeg,T,23,2019,0,0,1,18,18,55,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.
2016,5,156,BUF,Jonathan Williams,RB,22,2019,0,0,0,3,1,23,0,1,0,0,0,79,329,2,7,60,0,,,,Arkansas
2016,5,157,TEN,LeShaun Sims,CB,22,2019,0,0,0,7,7,56,0,0,0,0,0,0,0,0,0,0,0,89,2,,Southern Utah
2016,5,158,NYJ,Brandon Shell,T,24,2019,0,0,3,16,16,49,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina
2016,5,159,HOU,K.J. Dillon,S,22,2016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,West Virginia
2016,5,160,MIN,Kentrell Brothers,OLB,23,2019,0,0,0,4,4,51,0,0,0,0,0,0,0,0,0,0,0,41,,1,Missouri
2016,5,161,CIN,Christian Westerman,G,23,2018,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.
2016,5,162,KAN,Kevin Hogan,QB,23,2017,0,0,0,2,,8,60,101,621,4,7,18,176,1,0,0,0,,,,Stanford
2016,5,163,GNB,Trevor Davis,WR,23,2019,0,0,0,2,1,43,0,0,0,0,0,6,86,1,16,205,1,7,,,California
2016,5,164,PHI,Halapoulivaati Vaitai,T,23,2019,0,0,1,11,11,55,0,0,0,0,0,0,0,0,0,0,0,,,,TCU
2016,5,165,KAN,Tyreek Hill,WR,22,2019,2,4,3,47,47,59,0,1,0,0,1,71,500,4,281,4115,32,4,,,West Alabama
2016,5,166,HOU,D.J. Reader,NT,22,2019,0,0,3,23,23,61,0,0,0,0,0,0,0,0,0,0,0,81,,6.5,Clemson
2016,5,167,ARI,Marqui Christian,S,21,2019,0,0,0,4,,55,0,0,0,0,0,0,0,0,0,0,0,61,,,Midwestern St.
2016,5,168,CLE,Spencer Drango,G,23,2017,0,0,2,9,9,32,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor
2016,5,169,DET,Antwione Williams,LB,23,2016,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,17,,,Georgia Southern
2016,5,170,ARI,Cole Toner,T,22,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Harvard
